"","probeID","geneNames","ensemblID","distToTSS"
"1","cg04672450",NA,NA,NA
"2","cg14324200",NA,NA,NA
"3","cg04485075",NA,NA,NA
"4","cg19923810",NA,NA,NA
"5","cg21832150",NA,NA,NA
"6","cg02397514",NA,NA,NA
"7","cg08122545",NA,NA,NA
"8","cg20022511",NA,NA,NA
"9","cg08067365",NA,NA,NA
"10","cg09383789",NA,NA,NA
"11","cg26541516",NA,NA,NA
"12","cg19584957",NA,NA,NA
"13","cg14886269",NA,NA,NA
"14","cg07671976",NA,NA,NA
"15","cg22335801",NA,NA,NA
"16","cg23867494",NA,NA,NA
"17","cg02224920",NA,NA,NA
"18","cg19945840",NA,NA,NA
"19","cg02913364",NA,NA,NA
"20","cg03322129",NA,NA,NA
"21","cg13587552",NA,NA,NA
"22","cg22421766",NA,NA,NA
"23","cg25203980",NA,NA,NA
"24","cg18565510",NA,NA,NA
"25","cg00262415",NA,NA,NA
"26","cg24497877",NA,NA,NA
"27","cg06038049",NA,NA,NA
"28","cg16293991",NA,NA,NA
"29","cg10164137",NA,NA,NA
"30","cg20275133",NA,NA,NA
"31","cg25397779",NA,NA,NA
"32","cg14667273",NA,NA,NA
"33","cg25234611",NA,NA,NA
"34","cg11405695",NA,NA,NA
"35","cg27383362",NA,NA,NA
"36","cg26798624",NA,NA,NA
"37","cg05009249",NA,NA,NA
"38","cg09932694",NA,NA,NA
"39","cg05181565",NA,NA,NA
"40","cg20755353",NA,NA,NA
"41","cg18241160",NA,NA,NA
"42","cg00669623",NA,NA,NA
"43","cg01738944",NA,NA,NA
"44","cg17990871",NA,NA,NA
"45","cg03716942",NA,NA,NA
"46","cg12150066",NA,NA,NA
"47","cg10943191",NA,NA,NA
"48","cg24087944",NA,NA,NA
"49","cg06063714",NA,NA,NA
"50","cg21137823",NA,NA,NA
"51","cg24035370",NA,NA,NA
"52","cg24649713",NA,NA,NA
"53","cg05940463",NA,NA,NA
"54","cg06382459",NA,NA,NA
"55","cg23207616",NA,NA,NA
"56","cg13014406",NA,NA,NA
"57","cg03533858",NA,NA,NA
"58","cg23739036",NA,NA,NA
"59","cg20664247",NA,NA,NA
"60","cg20103201",NA,NA,NA
"61","cg09044743",NA,NA,NA
"62","cg27285616",NA,NA,NA
"63","cg05360220",NA,NA,NA
"64","cg05610148",NA,NA,NA
"65","cg11452360",NA,NA,NA
"66","cg04716261",NA,NA,NA
